Tara,PIB,PIBPerCapita,PIBRealPerCapita,SalariuMediu,ProcentSalariuMinim,RataSomaj,ExportProcentPIB,ImportProcentPIB,ExportImportRatio,CheltuieliRsiDProcentPIB
Austria,333146100,38990,36130,2494,14.76,5.6,53.4,50.1,1.07,3.08
Belgia,403003300,35950,33870,2956,3.79,8.5,79.8,79,1.01,2.37
Bulgaria,42890300,5940,5530,420,18.19,11.4,64.8,65.8,.98,.79
Cehia,157821300,15000,15480,909,18.69,6.1,82,75.6,1.08,1.96
Cipru,17430200,20450,20250,1798,19.33,16.1,66,65.1,1.03,.51
Croatia,43398600,10250,10310,1033,23.11,17.3,43.3,43.7,1.04,.78
Danemarca,265757000,47090,44890,3690,8.61,6.9,54.6,47.7,1.14,2.91
Estonia,20180000,15340,13060,999,22.76,7.4,81.3,77.9,1.05,1.42
Finlanda,206897000,37880,34390,3094,5.28,8.7,36.5,37.6,.97,3.15
Franta,2149765000,32420,31320,2603,8.81,10.3,29.7,30.8,.96,2.23
Germania,2927430000,36150,33920,2620,22.48,5,45.6,39,1.18,2.88
Grecia,177349400,16280,16820,1511,21.72,26.5,32.5,34,.93,.84
Irlanda,195148100,41950,39920,3340,21.56,11.9,109.8,91.8,1.2,1.52
Italia,1627405600,26770,25420,2337,9.44,12.7,29.1,26.2,1.11,1.34
Letonia,23613900,11840,10290,692,25.46,10.8,61.2,64.1,.98,.69
Lituania,36581300,12480,11290,640,23.96,10.7,72.3,70.5,1.03,1.03
Luxemburg,49824500,89240,79490,3913,11.94,5.9,212.6,180.2,1.18,1.27
Malta,8751100,20120,18610,1566,15.08,5.7,149.8,137.8,1.09,.69
Olanda,671560000,39820,38580,2964.09,17.98,7.4,80.6,69.5,1.16,2.17
Polonia,408967800,10630,10440,948,23.56,9,47.2,46.3,1.03,.94
Portugalia,173053700,16640,16260,1209,12.03,14.1,40.2,40.1,1.01,1.29
Romania,150708600,7570,7040,512,24.4,6.8,41.4,41.8,.99,.38
Slovacia,76269800,14080,13630,908,19.21,13.2,91.5,86.7,1.04,.88
Slovenia,37634300,18250,17620,1571,18.47,9.7,76.2,69.4,1.11,2.37
Spania,1032158000,22220,22210,1829,14.59,24.5,33.5,30.4,1.08,1.24
Suedia,438833900,45260,41180,3286,2.64,8,43.3,39.7,1.11,3.1
Ungaria,106061300,10750,10770,774,17.75,7.7,87.3,81,1.08,1.35
